Text,Image,Artifact
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.header_1,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0501,0.5794,0.7758,0.0286",urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.1_1,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0591,0.5966,0.7367,0.0629",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.1_1_r1,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.3624,0.6166,0.1091,0.0315",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.1_2,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0651,0.6352,0.7257,0.0286",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.1_3,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0611,0.6538,0.7167,0.0243",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.1_3_r1,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.1311,0.6538,0.1692,0.0601",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.1_4,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0621,0.6924,0.7337,0.0801",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.2_1,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.024,0.7082,0.7548,0.0501",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.2_2,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0601,0.7268,0.9229,0.0272",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.2_3."urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0591,0.7468,0.7267,0.0243",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.2_4,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.0621,0.7654,0.7157,0.0587",
urn:cts:latinLit:stoa0162.stoa005.vadslg298:14.t1.3_1,"urn:cite:hcmid:vadslg298bifolioimgs.codvad298-43v-44r@0.022,0.7811,0.7528,0.0315",
